Date : 2025-11-16 11:22:34
Directory : d:\Mycodes\Gitrepos\javascript-algorithms
Total : 621 files,  47073 codes, 4544 comments, 9455 blanks, all 61072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\algorithms\string                                                                                                                                    |         24 |        704 |        213 |        217 |      1,134 |
| src\algorithms\string\hamming-distance                                                                                                                   |          3 |         47 |          5 |         15 |         67 |
| src\algorithms\string\hamming-distance (Files)                                                                                                           |          2 |         29 |          5 |         11 |         45 |
| src\algorithms\string\hamming-distance\__test__                                                                                                          |          1 |         18 |          0 |          4 |         22 |
| src\algorithms\string\knuth-morris-pratt                                                                                                                 |          3 |         68 |         12 |         16 |         96 |
| src\algorithms\string\knuth-morris-pratt (Files)                                                                                                         |          2 |         54 |         12 |         14 |         80 |
| src\algorithms\string\knuth-morris-pratt\__test__                                                                                                        |          1 |         14 |          0 |          2 |         16 |
| src\algorithms\string\levenshtein-distance                                                                                                               |          3 |        122 |         19 |         43 |        184 |
| src\algorithms\string\levenshtein-distance (Files)                                                                                                       |          2 |        106 |         13 |         35 |        154 |
| src\algorithms\string\levenshtein-distance\__test__                                                                                                      |          1 |         16 |          6 |          8 |         30 |
| src\algorithms\string\longest-common-substring                                                                                                           |          3 |         80 |         18 |         21 |        119 |
| src\algorithms\string\longest-common-substring (Files)                                                                                                   |          2 |         58 |         18 |         18 |         94 |
| src\algorithms\string\longest-common-substring\__test__                                                                                                  |          1 |         22 |          0 |          3 |         25 |
| src\algorithms\string\palindrome                                                                                                                         |          3 |         46 |          4 |         16 |         66 |
| src\algorithms\string\palindrome (Files)                                                                                                                 |          2 |         33 |          4 |         13 |         50 |
| src\algorithms\string\palindrome\__test__                                                                                                                |          1 |         13 |          0 |          3 |         16 |
| src\algorithms\string\rabin-karp                                                                                                                         |          3 |        103 |         13 |         28 |        144 |
| src\algorithms\string\rabin-karp (Files)                                                                                                                 |          2 |         66 |         11 |         23 |        100 |
| src\algorithms\string\rabin-karp\__test__                                                                                                                |          1 |         37 |          2 |          5 |         44 |
| src\algorithms\string\regular-expression-matching                                                                                                        |          3 |        127 |         79 |         39 |        245 |
| src\algorithms\string\regular-expression-matching (Files)                                                                                                |          2 |         95 |         79 |         36 |        210 |
| src\algorithms\string\regular-expression-matching\__test__                                                                                               |          1 |         32 |          0 |          3 |         35 |
| src\algorithms\string\z-algorithm                                                                                                                        |          3 |        111 |         63 |         39 |        213 |
| src\algorithms\string\z-algorithm (Files)                                                                                                                |          2 |         96 |         63 |         37 |        196 |
| src\algorithms\string\z-algorithm\__test__                                                                                                               |          1 |         15 |          0 |          2 |         17 |
| src\algorithms\tree                                                                                                                                      |          6 |        239 |         84 |         75 |        398 |
| src\algorithms\tree\breadth-first-search                                                                                                                 |          3 |        132 |         30 |         40 |        202 |
| src\algorithms\tree\breadth-first-search (Files)                                                                                                         |          2 |         59 |         19 |         21 |         99 |
| src\algorithms\tree\breadth-first-search\__test__                                                                                                        |          1 |         73 |         11 |         19 |        103 |
| src\algorithms\tree\depth-first-search                                                                                                                   |          3 |        107 |         54 |         35 |        196 |
| src\algorithms\tree\depth-first-search (Files)                                                                                                           |          2 |         34 |         43 |         16 |         93 |
| src\algorithms\tree\depth-first-search\__test__                                                                                                          |          1 |         73 |         11 |         19 |        103 |
| src\algorithms\uncategorized                                                                                                                             |         55 |      1,606 |        484 |        518 |      2,608 |
| src\algorithms\uncategorized\best-time-to-buy-sell-stocks                                                                                                |          9 |        267 |         49 |        114 |        430 |
| src\algorithms\uncategorized\best-time-to-buy-sell-stocks (Files)                                                                                        |          5 |        119 |         49 |         66 |        234 |
| src\algorithms\uncategorized\best-time-to-buy-sell-stocks\__tests__                                                                                      |          4 |        148 |          0 |         48 |        196 |
| src\algorithms\uncategorized\hanoi-tower                                                                                                                 |          3 |        123 |         23 |         32 |        178 |
| src\algorithms\uncategorized\hanoi-tower (Files)                                                                                                         |          2 |         75 |         23 |         17 |        115 |
| src\algorithms\uncategorized\hanoi-tower\__test__                                                                                                        |          1 |         48 |          0 |         15 |         63 |
| src\algorithms\uncategorized\jump-game                                                                                                                   |          9 |        238 |        109 |         72 |        419 |
| src\algorithms\uncategorized\jump-game (Files)                                                                                                           |          5 |        178 |        109 |         60 |        347 |
| src\algorithms\uncategorized\jump-game\__test__                                                                                                          |          4 |         60 |          0 |         12 |         72 |
| src\algorithms\uncategorized\knight-tour                                                                                                                 |          3 |        116 |         41 |         34 |        191 |
| src\algorithms\uncategorized\knight-tour (Files)                                                                                                         |          2 |         78 |         41 |         28 |        147 |
| src\algorithms\uncategorized\knight-tour\__test__                                                                                                        |          1 |         38 |          0 |          6 |         44 |
| src\algorithms\uncategorized\n-queens                                                                                                                    |          7 |        240 |        130 |         65 |        435 |
| src\algorithms\uncategorized\n-queens (Files)                                                                                                            |          4 |        184 |        127 |         53 |        364 |
| src\algorithms\uncategorized\n-queens\__test__                                                                                                           |          3 |         56 |          3 |         12 |         71 |
| src\algorithms\uncategorized\rain-terraces                                                                                                               |          5 |        171 |         23 |         55 |        249 |
| src\algorithms\uncategorized\rain-terraces (Files)                                                                                                       |          3 |        131 |         23 |         51 |        205 |
| src\algorithms\uncategorized\rain-terraces\__test__                                                                                                      |          2 |         40 |          0 |          4 |         44 |
| src\algorithms\uncategorized\recursive-staircase                                                                                                         |          9 |        142 |         55 |         40 |        237 |
| src\algorithms\uncategorized\recursive-staircase (Files)                                                                                                 |          5 |         74 |         55 |         32 |        161 |
| src\algorithms\uncategorized\recursive-staircase\__test__                                                                                                |          4 |         68 |          0 |          8 |         76 |
| src\algorithms\uncategorized\square-matrix-rotation                                                                                                      |          3 |        152 |          8 |         49 |        209 |
| src\algorithms\uncategorized\square-matrix-rotation (Files)                                                                                              |          2 |        105 |          8 |         36 |        149 |
| src\algorithms\uncategorized\square-matrix-rotation\__test__                                                                                             |          1 |         47 |          0 |         13 |         60 |
| src\algorithms\uncategorized\unique-paths                                                                                                                |          7 |        157 |         46 |         57 |        260 |
| src\algorithms\uncategorized\unique-paths (Files)                                                                                                        |          4 |        124 |         46 |         51 |        221 |
| src\algorithms\uncategorized\unique-paths\__test__                                                                                                       |          3 |         33 |          0 |          6 |         39 |
| src\data-structures                                                                                                                                      |        158 |      9,671 |      1,260 |      3,079 |     14,010 |
| src\data-structures\bloom-filter                                                                                                                         |          6 |        396 |         43 |        131 |        570 |
| src\data-structures\bloom-filter (Files)                                                                                                                 |          5 |        348 |         43 |        116 |        507 |
| src\data-structures\bloom-filter\__test__                                                                                                                |          1 |         48 |          0 |         15 |         63 |
| src\data-structures\disjoint-set                                                                                                                         |         10 |        411 |        112 |        164 |        687 |
| src\data-structures\disjoint-set (Files)                                                                                                                 |          7 |        192 |        109 |         78 |        379 |
| src\data-structures\disjoint-set\__test__                                                                                                                |          3 |        219 |          3 |         86 |        308 |
| src\data-structures\doubly-linked-list                                                                                                                   |         12 |      1,109 |         73 |        301 |      1,483 |
| src\data-structures\doubly-linked-list (Files)                                                                                                           |         10 |        862 |         70 |        214 |      1,146 |
| src\data-structures\doubly-linked-list\__test__                                                                                                          |          2 |        247 |          3 |         87 |        337 |
| src\data-structures\graph                                                                                                                                |         12 |        774 |        129 |        262 |      1,165 |
| src\data-structures\graph (Files)                                                                                                                        |          9 |        304 |        129 |        111 |        544 |
| src\data-structures\graph\__test__                                                                                                                       |          3 |        470 |          0 |        151 |        621 |
| src\data-structures\hash-table                                                                                                                           |         10 |        285 |         54 |        132 |        471 |
| src\data-structures\hash-table (Files)                                                                                                                   |          9 |        201 |         52 |        100 |        353 |
| src\data-structures\hash-table\__test__                                                                                                                  |          1 |         84 |          2 |         32 |        118 |
| src\data-structures\heap                                                                                                                                 |         19 |        915 |        136 |        335 |      1,386 |
| src\data-structures\heap (Files)                                                                                                                         |         14 |        494 |        136 |        191 |        821 |
| src\data-structures\heap\__test__                                                                                                                        |          5 |        421 |          0 |        144 |        565 |
| src\data-structures\linked-list                                                                                                                          |         14 |      1,721 |         69 |        381 |      2,171 |
| src\data-structures\linked-list (Files)                                                                                                                  |         12 |      1,483 |         66 |        292 |      1,841 |
| src\data-structures\linked-list\__test__                                                                                                                 |          2 |        238 |          3 |         89 |        330 |
| src\data-structures\lru-cache                                                                                                                            |          6 |        411 |         81 |        123 |        615 |
| src\data-structures\lru-cache (Files)                                                                                                                    |          4 |        167 |         81 |         67 |        315 |
| src\data-structures\lru-cache\__test__                                                                                                                   |          2 |        244 |          0 |         56 |        300 |
| src\data-structures\priority-queue                                                                                                                       |         10 |        247 |         46 |         93 |        386 |
| src\data-structures\priority-queue (Files)                                                                                                               |          9 |        155 |         46 |         60 |        261 |
| src\data-structures\priority-queue\__test__                                                                                                              |          1 |         92 |          0 |         33 |        125 |
| src\data-structures\queue                                                                                                                                |         11 |        222 |         26 |        101 |        349 |
| src\data-structures\queue (Files)                                                                                                                        |         10 |        176 |         26 |         81 |        283 |
| src\data-structures\queue\__test__                                                                                                                       |          1 |         46 |          0 |         20 |         66 |
| src\data-structures\stack                                                                                                                                |         11 |        245 |         29 |        120 |        394 |
| src\data-structures\stack (Files)                                                                                                                        |         10 |        191 |         29 |         96 |        316 |
| src\data-structures\stack\__test__                                                                                                                       |          1 |         54 |          0 |         24 |         78 |
| src\data-structures\tree                                                                                                                                 |         27 |      2,584 |        395 |        805 |      3,784 |
| src\data-structures\tree (Files)                                                                                                                         |          4 |        182 |         68 |         68 |        318 |
| src\data-structures\tree\__test__                                                                                                                        |          1 |        214 |          0 |         84 |        298 |
| src\data-structures\tree\avl-tree                                                                                                                        |          4 |        375 |         58 |        138 |        571 |
| src\data-structures\tree\avl-tree (Files)                                                                                                                |          3 |        149 |         56 |         62 |        267 |
| src\data-structures\tree\avl-tree\__test__                                                                                                               |          1 |        226 |          2 |         76 |        304 |
| src\data-structures\tree\binary-search-tree                                                                                                              |          6 |        850 |         60 |        202 |      1,112 |
| src\data-structures\tree\binary-search-tree (Files)                                                                                                      |          4 |        589 |         60 |        108 |        757 |
| src\data-structures\tree\binary-search-tree\__test__                                                                                                     |          2 |        261 |          0 |         94 |        355 |
| src\data-structures\tree\fenwick-tree                                                                                                                    |          4 |        186 |         27 |         59 |        272 |
| src\data-structures\tree\fenwick-tree (Files)                                                                                                            |          3 |         96 |         27 |         34 |        157 |
| src\data-structures\tree\fenwick-tree\__test__                                                                                                           |          1 |         90 |          0 |         25 |        115 |
| src\data-structures\tree\red-black-tree                                                                                                                  |          4 |        534 |        118 |        187 |        839 |
| src\data-structures\tree\red-black-tree (Files)                                                                                                          |          3 |        285 |        118 |        111 |        514 |
| src\data-structures\tree\red-black-tree\__test__                                                                                                         |          1 |        249 |          0 |         76 |        325 |
| src\data-structures\tree\segment-tree                                                                                                                    |          4 |        243 |         64 |         67 |        374 |
| src\data-structures\tree\segment-tree (Files)                                                                                                            |          3 |        162 |         64 |         46 |        272 |
| src\data-structures\tree\segment-tree\__test__                                                                                                           |          1 |         81 |          0 |         21 |        102 |
| src\data-structures\trie                                                                                                                                 |         10 |        351 |         67 |        131 |        549 |
| src\data-structures\trie (Files)                                                                                                                         |          8 |        211 |         66 |         86 |        363 |
| src\data-structures\trie\__test__                                                                                                                        |          2 |        140 |          1 |         45 |        186 |
| src\playground                                                                                                                                           |          3 |         19 |          6 |          9 |         34 |
| src\playground (Files)                                                                                                                                   |          2 |         13 |          5 |          7 |         25 |
| src\playground\__test__                                                                                                                                  |          1 |          6 |          1 |          2 |          9 |
| src\utils                                                                                                                                                |          2 |         73 |         44 |         17 |        134 |
| src\utils\comparator                                                                                                                                     |          2 |         73 |         44 |         17 |        134 |
| src\utils\comparator (Files)                                                                                                                             |          1 |         30 |         44 |          9 |         83 |
| src\utils\comparator\__test__                                                                                                                            |          1 |         43 |          0 |          8 |         51 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Mycodes\Gitrepos\javascript-algorithms\.github\FUNDING.yml                                                                                            | YAML       |          2 |          1 |          1 |          4 |
| d:\Mycodes\Gitrepos\javascript-algorithms\.github\workflows\CI.yml                                                                                       | YAML       |         27 |          0 |          9 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\BACKERS.md                                                                                                     | Markdown   |          8 |         31 |         10 |         49 |
| d:\Mycodes\Gitrepos\javascript-algorithms\CODE_OF_CONDUCT.md                                                                                             | Markdown   |         25 |          0 |         16 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\CONTRIBUTING.md                                                                                                | Markdown   |         19 |          0 |          7 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.ar-AR.md                                                                                                | Markdown   |        274 |          0 |         52 |        326 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.de-DE.md                                                                                                | Markdown   |        285 |          0 |         52 |        337 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.es-ES.md                                                                                                | Markdown   |        259 |          0 |         45 |        304 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.fr-FR.md                                                                                                | Markdown   |        256 |          0 |         45 |        301 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.he-IL.md                                                                                                | Markdown   |        296 |          0 |         73 |        369 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.id-ID.md                                                                                                | Markdown   |        262 |          0 |         48 |        310 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.it-IT.md                                                                                                | Markdown   |        261 |          0 |         42 |        303 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.ja-JP.md                                                                                                | Markdown   |        262 |          0 |         42 |        304 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.ko-KR.md                                                                                                | Markdown   |        242 |          0 |         43 |        285 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.md                                                                                                      | Markdown   |        320 |          0 |         57 |        377 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.pl-PL.md                                                                                                | Markdown   |        255 |          0 |         42 |        297 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.pt-BR.md                                                                                                | Markdown   |        261 |          0 |         44 |        305 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.ru-RU.md                                                                                                | Markdown   |        277 |          0 |         44 |        321 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.tr-TR.md                                                                                                | Markdown   |        277 |          0 |         46 |        323 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.uk-UA.md                                                                                                | Markdown   |        266 |          0 |         45 |        311 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.uz-UZ.md                                                                                                | Markdown   |        301 |          0 |         56 |        357 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.vi-VN.md                                                                                                | Markdown   |        283 |          0 |         44 |        327 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.zh-CN.md                                                                                                | Markdown   |        255 |          0 |         43 |        298 |
| d:\Mycodes\Gitrepos\javascript-algorithms\README.zh-TW.md                                                                                                | Markdown   |        194 |          0 |         36 |        230 |
| d:\Mycodes\Gitrepos\javascript-algorithms\jest.config.js                                                                                                 | JavaScript |         20 |         12 |          9 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\package-lock.json                                                                                              | JSON       |     15,788 |          0 |          1 |     15,789 |
| d:\Mycodes\Gitrepos\javascript-algorithms\package.json                                                                                                   | JSON       |         54 |          0 |          1 |         55 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\README.md                                                            | Markdown   |         21 |          0 |         13 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\README.ru-RU.md                                                      | Markdown   |         19 |          0 |         11 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js                                        | JavaScript |         31 |          0 |         10 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\caesarCipher.js                                                      | JavaScript |         29 |         26 |          4 |         59 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\README.md                                                              | Markdown   |         65 |          0 |         32 |         97 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js                                              | JavaScript |         41 |          0 |          6 |         47 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js                                                          | JavaScript |         50 |         28 |         10 |         88 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js                                                  | JavaScript |         43 |         33 |         14 |         90 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\README.md                                                          | Markdown   |         83 |          0 |         34 |        117 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js                                            | JavaScript |         22 |         34 |          8 |         64 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js                                    | JavaScript |         42 |          7 |         11 |         60 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js                              | JavaScript |         39 |          4 |         10 |         53 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\README.md                                                        | Markdown   |         20 |          0 |          9 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\__test__\railFenceCipher.test.js                                 | JavaScript |         39 |          0 |          5 |         44 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\railFenceCipher.js                                               | JavaScript |        132 |         86 |         25 |        243 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\README.md                                                             | Markdown   |         15 |          0 |          8 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\__test__\articulationPoints.test.js                                   | JavaScript |        190 |          0 |         43 |        233 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\articulationPoints.js                                                 | JavaScript |         56 |         44 |         14 |        114 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\README.md                                                                    | Markdown   |         15 |          0 |          7 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\__test__\bellmanFord.test.js                                                 | JavaScript |        105 |          0 |         13 |        118 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\bellmanFord.js                                                               | JavaScript |         29 |         12 |          5 |         46 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\README.md                                                            | Markdown   |         12 |          0 |          5 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\__test__\breadthFirstSearch.test.js                                  | JavaScript |        146 |          3 |         26 |        175 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\breadthFirstSearch.js                                                | JavaScript |         38 |         24 |         14 |         76 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\README.md                                                                         | Markdown   |         16 |          0 |         11 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\__test__\graphBridges.test.js                                                     | JavaScript |        167 |          0 |         37 |        204 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\graphBridges.js                                                                   | JavaScript |         51 |         32 |         13 |         96 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\depth-first-search\README.md                                                              | Markdown   |         12 |          0 |          5 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\depth-first-search\__test__\depthFirstSearch.test.js                                      | JavaScript |        138 |          2 |         26 |        166 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\depth-first-search\depthFirstSearch.js                                                    | JavaScript |         33 |         26 |         10 |         69 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\README.md                                                                    | Markdown   |         42 |          0 |         19 |         61 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\__test__\detectDirectedCycle.test.js                                         | JavaScript |         36 |          0 |          7 |         43 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\__test__\detectUndirectedCycle.test.js                                       | JavaScript |         35 |          0 |          7 |         42 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\__test__\detectUndirectedCycleUsingDisjointSet.test.js                       | JavaScript |         30 |          0 |          7 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\detectDirectedCycle.js                                                       | JavaScript |         46 |         31 |         17 |         94 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\detectUndirectedCycle.js                                                     | JavaScript |         35 |         13 |         12 |         60 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\detect-cycle\detectUndirectedCycleUsingDisjointSet.js                                     | JavaScript |         15 |         13 |          4 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.de-DE.md                                                                  | Markdown   |        105 |          0 |         57 |        162 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.es-ES.md                                                                  | Markdown   |         94 |          0 |         57 |        151 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.fr-FR.md                                                                  | Markdown   |        100 |          0 |         57 |        157 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.he-IL.md                                                                  | Markdown   |        104 |          0 |         57 |        161 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.ja-JP.md                                                                  | Markdown   |        109 |          0 |         57 |        166 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.ko-KR.md                                                                  | Markdown   |         98 |          0 |         57 |        155 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.md                                                                        | Markdown   |         84 |          0 |         57 |        141 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.uk-UA.md                                                                  | Markdown   |         84 |          0 |         57 |        141 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.zh-CN.md                                                                  | Markdown   |         99 |          0 |         57 |        156 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\README.zh-TW.md                                                                  | Markdown   |        105 |          0 |         57 |        162 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\__test__\dijkstra.test.js                                                        | JavaScript |        105 |          0 |         13 |        118 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\dijkstra\dijkstra.js                                                                      | JavaScript |         38 |         28 |         15 |         81 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\eulerian-path\README.md                                                                   | Markdown   |         26 |          0 |         10 |         36 |
